Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
940,683,88,29,2,2,35,54,0,16,0,75,53,32,0,0
540,376,86,48,4,4,55,115,0,18,5,106,65,NA,1,0
720,465,91,21,3,3,65,136,0,18,0,60,59,292,1,0
1476,1014,88,7,4,4,55,85,0,10,2,66,68,224,1,0
1641,1070,88,4,1,0,5,35,41,9,4,77,55,61,1,0
933,656,84,60,6,5,65,73,27,18,10,100,84,214,1,0
790,507,87,6,9,8,85,115,39,19,10,94,82,215,2,0
605,389,86,37,1,2,35,64,0,13,0,61,54,NA,1,0
970,640,95,0,2,1,20,35,31,8,5,56,29,155,3,0
861,536,90,26,5,3,45,99,0,13,0,84,57,35,1,0
776,484,95,0,1,2,25,109,0,10,6,56,48,77,3,0
714,466,92,13,2,1,20,89,0,9,5,58,48,42,4,0
1110,690,92,21,2,1,20,87,0,11,4,73,57,72,5,0
658,412,91,7,1,3,30,65,0,9,11,49,48,NA,3,0
1047,674,94,61,1,1,25,41,0,10,10,58,25,48,1,0
557,325,81,136,11,7,85,74,59,19,0,89,100,108,1,0
641,401,93,0,2,1,35,0,0,10,10,33,19,47,0,0
716,410,90,53,4,3,45,63,0,14,13,86,59,70,0,0
667,397,90,7,3,2,35,50,0,15,12,68,60,135,1,0
536,362,88,0,2,2,25,30,0,16,0,79,56,93,0,0
989,629,92,28,2,2,25,82,30,13,4,66,39,364,3,0
552,309,97,73,1,1,20,47,0,14,0,58,23,91,0,0
748,423,94,42,2,2,30,61,0,12,0,49,25,67,0,0
857,533,92,131,5,5,45,76,0,16,4,90,79,70,0,0
494,310,85,29,4,3,35,80,0,18,0,93,68,61,4,0
511,316,93,39,2,2,30,63,0,12,7,67,37,NA,3,0
751,406,93,42,3,4,60,116,0,13,5,66,46,NA,1,0
893,531,94,24,3,2,30,48,0,8,0,53,41,123,4,0
1056,531,90,5,2,2,35,101,36,15,5,61,47,66,3,0
580,385,85,30,2,3,40,106,0,15,0,59,49,52,7,0
736,425,89,7,6,6,60,90,0,18,7,58,93,82,2,0
981,616,90,14,3,2,45,43,0,15,0,63,60,41,2,0
958,634,93,28,1,2,40,112,0,12,4,66,46,73,4,0
738,436,79,69,12,6,60,69,0,14,6,70,79,95,2,0
804,486,90,17,4,3,45,111,40,17,0,58,50,75,5,0
621,410,96,15,1,1,20,36,0,9,0,59,34,NA,0,0
589,385,90,29,0,2,20,56,0,11,0,52,50,119,3,0
425,224,79,0,6,5,30,72,94,20,0,74,99,141,1,0
469,298,92,0,6,5,35,106,0,12,8,71,65,128,2,0
898,535,89,38,5,3,55,102,0,13,4,73,53,45,0,0
738,448,90,29,8,5,55,85,132,11,13,66,43,312,1,0
823,541,87,11,3,2,40,75,0,10,0,63,53,49,4,0
610,386,91,32,3,3,30,72,0,10,0,67,39,66,0,0
815,514,90,52,4,3,40,73,0,13,0,63,45,74,2,0
802,505,79,109,12,8,75,143,40,15,2,105,124,274,1,0
671,430,93,56,3,1,20,53,0,10,0,73,42,179,1,0
1022,626,88,72,5,3,60,142,0,13,11,80,52,255,1,0
596,395,84,157,11,9,105,96,92,17,4,92,86,134,0,0
535,325,87,63,6,3,40,71,0,12,6,95,98,168,4,0
951,563,92,37,6,6,65,107,0,15,7,91,80,32,0,0
538,366,75,53,8,5,70,110,0,16,3,89,92,242,2,0
848,532,93,63,6,5,55,71,68,14,0,89,71,201,0,0
726,484,88,13,2,4,35,65,75,14,0,74,63,69,0,0
800,523,88,48,5,5,50,87,40,15,3,80,81,100,0,0
628,442,97,7,1,1,25,68,0,10,4,68,46,NA,1,0
562,392,91,8,3,3,45,41,0,15,4,56,70,NA,0,0
580,385,78,103,7,4,70,101,145,18,8,108,107,103,0,0
612,404,88,52,8,9,80,70,130,15,0,84,105,82,1,0
828,509,88,60,10,13,95,141,106,21,9,83,96,254,3,0
